Natlanguage_query,SQL_query
DRC03 What is out-of-pocket cost for a given drug?,"SELECT d.drug_concept_id, avg(c.paid_by_patient - c.paid_patient_copay) AS avg_out_pocket_cost
FROM cdm.cost c
JOIN cdm.drug_exposure d
  ON d.drug_exposure_id = c.cost_event_id
WHERE d.drug_exposure_id = c.cost_event_id
  AND (c.paid_by_patient - c.paid_patient_copay) > 0
  AND d.drug_concept_id
    IN (906805, 1517070, 19010522)
GROUP BY d.drug_concept_id;"
DRC07 Distribution of costs paid by payer.,"WITH tt AS (
    SELECT c1.paid_patient_coinsurance                                         AS stat_value,
           ROW_NUMBER() OVER (ORDER BY c1.paid_patient_coinsurance)            AS order_nr,
           (SELECT COUNT(*) FROM cdm.cost WHERE paid_patient_coinsurance > 0) AS population_size
    FROM cdm.cost c1
    WHERE c1.paid_patient_coinsurance > 0
)
SELECT MIN(tt.stat_value)                                                            AS min_value,
       MAX(tt.stat_value)                                                            AS max_value,
       AVG(tt.stat_value)                                                            AS avg_value,
       (ROUND(STDEV(tt.stat_value), 0))                                              AS STDEV_value,
       MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END) AS percentile_25,
       MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END) AS median_value,
       MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END) AS percentile_75
FROM tt;"
DER01 Which drug exposure records belong to a drug era?,"select *
 from        cdm.drug_exposure e
 where
         exists
                (
                select 1
                from
                        cdm.drug_era r ,
                        cdm.concept_ancestor m
                where
                        r.drug_era_id = 20
                and r.person_id = e.person_id
                and r.drug_concept_id = m.ancestor_concept_id
                and e.drug_concept_id = m.descendant_concept_id
                and (e.drug_exposure_start_date >= r.drug_era_start_date) AND (e.drug_exposure_start_date <= r.drug_era_end_date)
                )"
DER02 What is cost of ERA? - era -> exposure -> cost,"SELECT        sum(ISNULL(c.total_paid, 0)) as total_cost4era
FROM        cdm.drug_exposure e,
            cdm.cost c
WHERE
        exists
                (
                select        1
                from        cdm.drug_era r,
                            cdm.concept_ancestor m
                where
                        r.drug_era_id = 20--&era_id
                        and r.person_id = e.person_id
                        and r.drug_concept_id = m.ancestor_concept_id
                        and e.drug_concept_id = m.descendant_concept_id
                        and (e.drug_exposure_start_date >= r.drug_era_start_date) AND (e.drug_exposure_start_date <= r.drug_era_end_date)
                )
AND e. drug_exposure_id = c.cost_event_id"
DER03 What is the number of distinct ingredients per patient?,"SELECT
        avg(cnt)
from
        (
                select
                        count(distinct r.drug_concept_id) cnt,
                        r.person_id
                FROM
                        cdm.drug_era r
                GROUP BY
                        r.person_id
        ) a"
DER04 What proportion of observation time is a person exposed to a given drug?,"SELECT (CASE WHEN o.totalObs = 0 THEN 0 ELSE 100 * (e.totExposure * 1.0 / o.totalObs * 1.0) END) AS proportion
FROM (
         SELECT SUM(datediff(day, r.drug_era_start_date, r.drug_era_end_date)) AS totExposure,
                r.person_id
         FROM cdm.drug_era r
         WHERE r.person_id = 9717995
           AND r.drug_concept_id = 1549080
         GROUP BY r.person_id
     ) e
JOIN
     (
         SELECT sum(datediff(day, p.observation_period_start_date, p.observation_period_end_date)) AS totalObs,
                p.person_id
         FROM cdm.observation_period p
         GROUP BY p.person_id
     ) o
    ON o.person_id = e.person_id;"
"DER05 For a given indication, what proportion of patients take each indicated treatment?","SELECT tt.concept_id, tt.concept_name, 100*(tt.cntPersons*1.0/tt.total*1.0) AS proportion FROM (
SELECT c.concept_id, c.concept_name, t.cntPersons, sum(cntPersons) over() AS total
FROM cdm.concept c,
(SELECT er.drug_concept_id, count(DISTINCT er.person_id) AS cntPersons
FROM  cdm.concept_relationship cr,
         cdm.concept_ancestor ca,
      cdm.drug_era er
WHERE cr.concept_id_1 = ca.descendant_concept_id
  and er.drug_concept_id = ca.ancestor_concept_id
  and cr.concept_id_2 = 21001738--&era_id -- &Indication_id
  -- allow only indication relationships
  and cr.relationship_id IN ('Has FDA-appr ind', 'Has off-label ind', 'May treat', 'May prevent', 'CI by', 'Is off-label ind of', 'Is FDA-appr ind of', 'May be treated by')
GROUP BY er.drug_concept_id, cr.concept_id_2
) t
WHERE t.drug_concept_id = c.concept_id
) tt"
"DER06 For a given class, what proportion of patients take each treatment in the class?","select        tt.concept_id,
                tt.concept_name,
                100*(tt.cntPersons*1.0/tt.total*1.0) as proportion_count
from
        (
        select        c.concept_id,
                        c.concept_name,
                        t.cntPersons,
                        sum(cntPersons) over() as total
        from        cdm.concept c,
                        (
                        select        r.drug_concept_id,
                                        count(distinct r.person_id) as cntPersons
                        FROM        cdm.concept_ancestor ca,
                                        cdm.drug_era r
                        WHERE
                                ca.ancestor_concept_id        = 4324992
                        AND        r.drug_concept_id                = ca.descendant_concept_id
                        group by
                                r.drug_concept_id
                        ) t
        where
                t.drug_concept_id = c.concept_id
        ) tt;"
DER07 What is the average time between eras for a given ingredient? ex. steroids for RA,"SELECT avg(datediff(day, t.drug_era_end_date, t.next_era_start)) AS num_days
FROM (
         SELECT r.drug_era_end_date,
                lead(r.drug_era_start_date)
                OVER (PARTITION BY r.person_id, r.drug_concept_id ORDER BY r.drug_era_start_date) AS next_era_start
         FROM cdm.drug_era r
         WHERE r.drug_concept_id = 1304643
     ) t
WHERE t.next_era_start IS NOT NULL"
DER08 Counts of drug records,"SELECT count(1) AS total_count FROM cdm.drug_era r WHERE r.drug_concept_id in (1304643, 1549080);"
DER09 Counts of persons taking drugs,"select count(distinct r.person_id) as persons_count
from cdm.drug_era r
where r.drug_concept_id in (1304643, 1549080);"
DER10 Distribution of drug era end dates,"SELECT DISTINCT MIN(tt.end_date) over () AS min_date
,      MAX(tt.end_date) over () AS max_date
,      DATEADD(day, (AVG(CAST(tt.end_date_num AS BIGINT)) OVER ()), tt.min_date) AS avg_date
,      ROUND(STDEV(tt.end_date_num) over (), 0) AS STDEV_days
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .25 * tt.population_size THEN 9999 ELSE tt.end_date_num END) over (), tt.min_date) AS percentile_25_date
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .50 * tt.population_size THEN 9999 ELSE tt.end_date_num END) over (), tt.min_date) AS median_date
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .75 * tt.population_size THEN 9999 ELSE tt.end_date_num END) over (), tt.min_date) AS percentile_75_date
FROM
    (
        SELECT DATEDIFF(day, (MIN(t.drug_era_end_date) OVER()), t.drug_era_end_date) AS end_date_num
        ,      t.drug_era_end_date AS end_date
        ,      MIN(t.drug_era_end_date) OVER() AS min_date
        ,      MAX(t.drug_era_end_date) OVER () AS max_date
        ,      ROW_NUMBER() OVER (ORDER BY t.drug_era_end_date) order_nr
        ,      (SELECT COUNT(*) FROM cdm.drug_era) AS population_size
        FROM cdm.drug_era t
    ) tt
GROUP BY tt.order_nr
,        tt.population_size
,        tt.min_date
,        tt.end_date
,        tt.end_date_num;"
DER11 Distribution of drug era start dates,"SELECT DISTINCT MIN(tt.start_date) OVER () AS min_date
,      MAX(tt.start_date) OVER () AS max_date
,      DATEADD(day, (AVG(CAST(tt.start_date_num AS BIGINT)) OVER ()), tt.min_date) AS avg_date
,      ROUND(STDEV(tt.start_date_num) OVER (), 0) AS STDEV_days
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .25 * tt.population_size THEN 9999 ELSE tt.start_date_num END) over (), tt.min_date) AS percentile_25_date
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .50 * tt.population_size THEN 9999 ELSE tt.start_date_num END) over (), tt.min_date) AS median_date
,      DATEADD(day, MIN(CASE WHEN tt.order_nr < .75 * tt.population_size THEN 9999 ELSE tt.start_date_num END) over (), tt.min_date) AS percentile_75_date
FROM (
       SELECT DATEDIFF(day, (MIN(t.drug_era_start_date) OVER()), t.drug_era_start_date) AS start_date_num
       ,      t.drug_era_start_date AS start_date
       ,      MIN(t.drug_era_start_date) OVER() min_date
       ,      MAX(t.drug_era_start_date) OVER() max_date
       ,      ROW_NUMBER() OVER (ORDER BY t.drug_era_start_date) order_nr
       ,      (SELECT COUNT(*) FROM cdm.drug_era) AS population_size
       FROM cdm.drug_era t
) tt
GROUP BY tt.order_nr
,        tt.population_size
,        tt.min_date
,        tt.start_date
,        tt.start_date_num;"
DER12 Counts of drug types,"select count(1) as cntRecs, r.drug_type_concept_id
from cdm.drug_exposure r
group by r.drug_type_concept_id;"
DER13 Distribution of number of distinct drugs persons take,"WITH tt AS (
  SELECT COUNT(DISTINCT t.drug_concept_id) AS stat_value
  ,      ROW_NUMBER() OVER (ORDER BY COUNT(DISTINCT t.drug_concept_id)) order_nr
  ,      (SELECT COUNT(DISTINCT person_id) FROM cdm.drug_era) AS population_size
  FROM cdm.drug_era t
  WHERE ISNULL(t.drug_concept_id, 0) > 0
  GROUP BY t.person_id
)
SELECT MIN(tt.stat_value) AS min_value
,      MAX(tt.stat_value) AS max_value
,      AVG(tt.stat_value) AS avg_value
,      ROUND(STDEV(tt.stat_value), 0) AS STDEV_value
,      MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END) AS percentile_25
,      MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END) AS median_value
,      MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END) AS percentile_75
FROM tt;"
DER14 Counts of number of distinct drugs persons take,"SELECT count(
distinct t.drug_concept_id) AS drug_count, t.person_id
FROM cdm.drug_era t
group by t.person_id
having count(
distinct t.drug_concept_id)
in (3, 4);"
DER15 Distribution of drug era records per person,"WITH tt AS
(
  SELECT COUNT(1) AS stat_value
  ,      ROW_NUMBER() OVER (ORDER BY COUNT(1)) order_nr
  ,      (SELECT COUNT(DISTINCT person_id) FROM cdm.drug_era) AS population_size
  FROM cdm.drug_era t
  GROUP BY t.person_id
)
SELECT MIN(tt.stat_value) AS min_value
,      MAX(tt.stat_value) AS max_value
,      AVG(tt.stat_value) AS avg_value
,      ROUND(STDEV(tt.stat_value), 0) AS STDEV_value
,      MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END) AS percentile_25
,      MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END) AS median_value
,      MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END) AS percentile_75
FROM tt;"
DER16 Counts of drug era records per person,"SELECT
  count(1) AS s_count,
  t.person_id
FROM cdm.drug_era t
group by t.person_id
having count(1) in (3, 4);"
DER17 Counts of drug era records stratified by observation month,"SELECT MONTH(er.drug_era_start_date) month_num, COUNT(1) as eras_in_month_count
FROM cdm.drug_era er
WHERE MONTH(er.drug_era_start_date)
IN (3, 5)
GROUP BY MONTH(er.drug_era_start_date)
ORDER BY 1;"
"DER18 Distribution of age, stratified by drug","SELECT drug_concept_id
,      min_value
,      max_value
,      avg_value
,      MIN(CASE WHEN order_nr < .25 * population_size THEN 9999 ELSE stat_value END) AS percentile_25
,      MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE stat_value END) AS median_value
,      MIN(CASE WHEN order_nr < .75 * population_size THEN 9999 ELSE stat_value END) AS percentile_75
FROM (
         SELECT tt.drug_concept_id
         ,      tt.stat_value
         ,      MIN(tt.stat_value) OVER (partition by tt.drug_concept_id) AS min_value
         ,      MAX(tt.stat_value) OVER (partition by tt.drug_concept_id) AS max_value
         ,      AVG(tt.stat_value) OVER (partition by tt.drug_concept_id) AS avg_value
         ,      ROW_NUMBER() OVER (PARTITION BY tt.drug_concept_id ORDER BY tt.drug_concept_id, tt.stat_value) order_nr
         ,      population_size
         FROM (
                  SELECT YEAR((min(t1.drug_era_start_date) over (partition by t1.person_id, t1.drug_concept_id))) -
                              p1.year_of_birth as stat_value
                  ,      t1.drug_concept_id
                  FROM cdm.drug_era t1,
                       cdm.person p1
                  WHERE t1.person_id = p1.person_id
                    AND t1.drug_concept_id in (1300978, 1304643, 1549080)
              ) tt
         INNER JOIN (
             SELECT t2.drug_concept_id
             ,      COUNT(t2.drug_concept_id) as population_size
             FROM cdm.drug_era t2,
                  cdm.person p2
             WHERE t2.person_id = p2.person_id
               AND t2.drug_concept_id in (1300978, 1304643, 1549080)
             GROUP BY t2.drug_concept_id
         ) population_sizes
         ON tt.drug_concept_id = population_sizes.drug_concept_id
     ) ordered_data
GROUP BY ordered_data.drug_concept_id
,        min_value
,        max_value
,        avg_value"
